#,Name,State,Violent Crime Rates (2018),"VCR per 100,000 People",% Change (2010-2020)
96,Spokane,Washington,1742,794.23,9.53
65,Orlando,Florida,2282,798.17,29.11
44,Oakland,California,3395,799.01,12.44
15,Charlotte,North Carolina,6982,800.22,19.57
133,Knoxville,Tennessee,1508,804.86,6.23
115,Amarillo,Texas,1622,814.33,5.35
69,Greensboro,North Carolina,2440,828.47,10.47
134,Shreveport,Louisiana,1588,838.61,-5.68
64,Cincinnati,Ohio,2535,838.63,4.48
78,Toledo,Ohio,2333,848.78,-5.74
135,Mobile,Alabama,1613,849.80,-4.24
131,Akron,Ohio,1704,861.11,-4.31
101,Tacoma,Washington,1869,864.83,10.40
107,Fayetteville,North Carolina,1835,870.71,4.14
21,Oklahoma City,Oklahoma,5663,874.04,17.48
102,Modesto,California,1904,888.11,8.60
103,Huntsville,Alabama,1766,891.36,19.03
5,Philadelphia,Pennsylvania,14420,910.59,5.10
98,Baton Rouge,Louisiana,2067,930.28,-1.90
19,Washington,District of Columbia,6613,942.63,14.60
83,North Las Vegas,Nevada,2386,972.49,21.07
163,Springfield,Massachusetts,1534,993.98,1.86
85,Lubbock,Texas,2565,1000.12,12.03
2,Chicago,Illinois,27357,1012.69,1.92
3,Houston,Texas,24062,1037.79,9.69
139,Chattanooga,Tennessee,1891,1039.48,8.09
75,Buffalo,New York,2692,1052.46,6.50
45,Minneapolis,Minnesota,4294,1072.39,11.98
20,Nashville,Tennessee,7641,1145.57,14.68
52,Tampa,Florida,4611,1179.27,14.02
47,Bakersfield,California,4622,1187.47,15.95
43,Miami,Florida,5480,1277.22,10.72
14,Indianapolis,Indiana,11170,1282.49,8.20
71,Anchorage,Alaska,3824,1316.26,-0.20
154,Springfield,Missouri,2218,1323.87,6.44
100,San Bernardino,California,2906,1343.36,5.70
30,Milwaukee,Wisconsin,7646,1366.26,-2.96
175,Rockford,Illinois,2027,1385.44,-2.53
57,Stockton,California,4383,1406.48,9.96
29,Baltimore,Maryland,8416,1423.12,-5.68
51,New Orleans,Louisiana,5576,1455.06,11.68
113,Little Rock,Arkansas,2882,1459.36,4.65
25,Las Vegas,Nevada,9949,1546.73,9.95
34,Sacramento,California,7842,1593.86,12.06
68,St. Louis,Missouri,5525,1820.91,-5.55
26,Detroit,Michigan,11100,1842.50,-10.39
116,Birmingham,Alabama,4025,1912.23,-5.41
28,Memphis,Tennessee,12674,1946.54,-2.27
27,Louisville,Kentucky,13478,2002.74,5.92
