#,Name,State,Median Income (2020),Mean Income,Median Income (2010),Mean Income (2010),% Income Growth,% Change (2010-2020)
167,Bellevue,Washington,129497,177279,80500,105126,60.87,24.26
168,Pasadena,Texas,57781,74775,41280,56096,39.97,1.95
169,Pomona,California,62407,76764,45909,52920,35.94,1.67
170,Escondido,California,65326,86019,43102,59764,51.56,5.11
171,Charleston,South Carolina,72071,104916,47009,69327,53.31,25.35
172,Joliet,Illinois,72871,86531,54642,62994,33.36,1.98
173,Mesquite,Texas,60715,70415,46183,59220,31.47,7.50
174,Naperville,Illinois,127648,160936,98816,121729,29.18,5.34
175,Rockford,Illinois,44771,61960,36178,48916,23.75,-2.53
176,Bridgeport,Connecticut,47484,64887,38919,52017,22.01,3.09
177,Savannah,Georgia,46149,65818,32562,43514,41.73,8.66
178,Roseville,California,95519,115318,69932,79626,36.59,24.44
179,Syracuse,New York,38893,56002,29621,47442,31.30,1.51
180,Torrance,California,94781,121596,69288,86195,36.79,1.30
181,Fullerton,California,85471,115168,65360,83376,30.77,6.07
182,Surprise,Arizona,71192,84866,57114,65276,24.65,21.91
183,McAllen,Texas,49259,69925,41018,61766,20.09,9.52
184,Thornton,Colorado,80732,95931,62512,71349,29.15,19.50
185,Visalia,California,66668,84916,51464,66549,29.54,13.76
186,Denton,Texas,62542,81434,44376,56293,40.94,24.47
187,Kent,Washington,73891,92593,48688,58698,51.76,47.98
