#,Name,State,State Tax Rate,Cook PVI,City/Suburb,Region,Northeast?,Midwest?,South?,West?,% Change (2010-2020)
164,Hollywood,Florida,9.10,-3,0,South,0,0,1,0,8.73
165,Killeen,Texas,8.60,-5,1,South,0,0,1,0,19.27
166,Murfreesboro,Tennessee,7.60,-14,0,South,0,0,1,0,40.17
167,Bellevue,Washington,10.70,8,0,West,0,0,0,1,24.26
168,Pasadena,Texas,8.60,-5,0,South,0,0,1,0,1.95
169,Pomona,California,13.50,13,0,West,0,0,0,1,1.67
170,Escondido,California,13.50,13,0,West,0,0,0,1,5.11
171,Charleston,South Carolina,8.90,-8,1,South,0,0,1,0,25.35
172,Joliet,Illinois,12.90,7,0,Midwest,0,1,0,0,1.98
173,Mesquite,Texas,8.60,-5,0,South,0,0,1,0,7.50
174,Naperville,Illinois,12.90,7,0,Midwest,0,1,0,0,5.34
175,Rockford,Illinois,12.90,7,1,Midwest,0,1,0,0,-2.53
176,Bridgeport,Connecticut,15.40,7,1,Northeast,1,0,0,0,3.09
177,Savannah,Georgia,8.90,-3,1,South,0,0,1,0,8.66
178,Roseville,California,13.50,13,0,West,0,0,0,1,24.44
179,Syracuse,New York,15.90,10,1,Northeast,1,0,0,0,1.51
180,Torrance,California,13.50,13,0,West,0,0,0,1,1.30
181,Fullerton,California,13.50,13,0,West,0,0,0,1,6.07
182,Surprise,Arizona,9.50,-2,0,West,0,0,0,1,21.91
183,McAllen,Texas,8.60,-5,1,South,0,0,1,0,9.52
184,Thornton,Colorado,9.70,4,0,West,0,0,0,1,19.50
185,Visalia,California,13.50,13,1,West,0,0,0,1,13.76
186,Denton,Texas,8.60,-5,0,South,0,0,1,0,24.47
187,Kent,Washington,10.70,8,0,West,0,0,0,1,47.98
