#,Name,State,Population (2020),Population (2010),Population (2000),Population (1990),% Change (2010-2020),% Change (2000-2010),% Change (1990-2000)
100,San Bernardino,California,221898,209924,185401,164164,5.70,13.23,12.94
101,Tacoma,Washington,219025,198397,193556,176664,10.40,2.50,9.56
102,Modesto,California,218471,201165,188856,164730,8.60,6.52,14.65
103,Huntsville,Alabama,214372,180105,158216,159789,19.03,13.83,-0.98
104,Des Moines,Iowa,214137,203433,198682,193187,5.26,2.39,2.84
105,Yonkers,New York,211237,195976,196086,188082,7.79,-0.06,4.26
106,Rochester,New York,211233,210565,219773,231636,0.32,-4.19,-5.12
107,Fayetteville,North Carolina,208871,200564,121015,75695,4.14,65.73,59.87
108,Moreno Valley,California,208865,193365,142381,118779,8.02,35.81,19.87
109,Fontana,California,208766,196069,128929,87535,6.48,52.08,47.29
110,Columbus,Georgia,206922,189885,185781,178681,8.97,2.21,3.97
111,Worcester,Massachusetts,206601,181045,172648,169759,14.12,4.86,1.70
112,Port St. Lucie,Florida,204913,164603,88769,55866,24.49,85.43,58.90
113,Little Rock,Arkansas,202514,193524,183133,175795,4.65,5.67,4.17
114,Oxnard,California,202185,197899,170358,142216,2.17,16.17,19.79
115,Amarillo,Texas,200904,190695,173627,157615,5.35,9.83,10.16
116,Birmingham,Alabama,200763,212237,242820,265968,-5.41,-12.59,-8.70
117,Frisco,Texas,200675,116989,33714,6138,71.53,247.00,449.27
118,Montgomery,Alabama,200567,205764,201568,187106,-2.53,2.08,7.73
119,Huntington Beach,California,199140,189992,189594,181519,4.81,0.21,4.45
120,Salt Lake City,Utah,198746,186440,181743,159936,6.60,2.58,13.63
121,Grand Rapids,Michigan,198487,188040,197800,189126,5.56,-4.93,4.59
122,Overland Park,Kansas,197295,173372,149080,111790,13.80,16.29,33.36
123,Glendale,California,196841,191719,194973,180038,2.67,-1.67,8.30
124,Grand Prairie,Texas,196272,175396,127427,99616,11.90,37.64,27.92
125,Tallahassee,Florida,196068,181376,150624,124773,8.10,20.42,20.72
126,McKinney,Texas,195057,131117,54369,21283,48.77,141.16,155.46
127,Cape Coral,Florida,194979,154305,102286,74991,26.36,50.86,36.40
128,Sioux Falls,South Dakota,192683,153888,123975,100814,25.21,24.13,22.97
129,Peoria,Arizona,191052,154065,108364,50618,24.01,42.17,114.08
130,Vancouver,Washington,190810,161791,143560,46380,17.94,12.70,209.53
131,Akron,Ohio,190534,199110,217074,223019,-4.31,-8.28,-2.67
132,Providence,Rhode Island,190284,178042,173618,160728,6.88,2.55,8.02
133,Knoxville,Tennessee,190011,178874,173890,165121,6.23,2.87,5.31
134,Shreveport,Louisiana,187993,199311,200145,198525,-5.68,-0.42,0.82
135,Mobile,Alabama,186833,195111,198915,196278,-4.24,-1.91,1.34
136,Brownsville,Texas,186611,175023,139722,98962,6.62,25.27,41.19
137,Newport News,Virginia,186247,180719,180150,170045,3.06,0.32,5.94
138,Fort Lauderdale,Florida,182817,165521,152397,149377,10.45,8.61,2.02
139,Chattanooga,Tennessee,181234,167674,155554,152466,8.09,7.79,2.03
140,Aurora,Illinois,180688,197899,142990,99581,-8.70,38.40,43.59
141,Tempe,Arizona,179765,161719,158625,141865,11.16,1.95,11.81
142,Santa Rosa,California,178155,167815,147595,113313,6.16,13.70,30.25
143,Elk Grove,California,177145,153015,59984,17483,15.77,155.09,243.10
144,Ontario,California,175518,163924,158007,133179,7.07,3.74,18.64
145,Salem,Oregon,175432,154637,136924,107786,13.45,12.94,27.03
146,Cary,North Carolina,174754,135234,94536,43858,29.22,43.05,115.55
147,Eugene,Oregon,174753,156185,137893,112669,11.89,13.27,22.39
148,Rancho Cucamonga,California,174628,165269,127743,101409,5.66,29.38,25.97
149,Oceanside,California,174352,167086,161029,128398,4.35,3.76,25.41
150,Lancaster,California,173305,156633,118718,97291,10.64,31.94,22.02
151,Garden Grove,California,172144,170883,165196,143050,0.74,3.44,15.48
152,Pembroke Pines,Florida,171163,154750,137427,65452,10.61,12.61,109.97
153,Palmdale,California,169913,152750,116670,68842,11.24,30.92,69.48
