#,Name,State,2010 Home Price,2020 Home Price,Relative Home Price to Income (2020),Relative Home Price to Income (2010),% Change in Home Price (2010-2020),Average Square Foot,% Change (2010-2020)
79,Madison,Wisconsin,217537,285429,4.22,4.31,31.21,1862.84,15.10
80,Gilbert,Arizona,207678,358508,3.62,2.67,72.63,1899.95,28.71
81,Fort Wayne,Indiana,103891,147144,2.86,2.44,41.63,1651.55,4.01
82,Reno,Nevada,204794,391527,6.33,4.88,91.18,1561.05,16.97
83,North Las Vegas,Nevada,130397,274969,4.51,2.50,110.87,1501.36,21.07
84,St. Petersburg,Florida,123271,208951,3.44,2.82,69.51,1258.42,5.52
85,Lubbock,Texas,131820,150801,2.92,3.24,14.40,1399.11,12.03
86,Irving,Texas,156058,245623,3.69,3.35,57.39,1556.90,18.73
87,Laredo,Texas,148722,164000,3.21,4.13,10.27,1548.13,8.09
88,Chesapeake,Virginia,265334,282275,3.47,3.85,6.38,2074.28,12.25
89,Glendale,Arizona,127896,245801,4.31,2.80,92.19,1254.02,9.54
90,Garland,Texas,125945,212267,3.36,2.42,68.54,1310.90,8.49
91,Scottsdale,Arizona,345640,518051,5.69,5.02,49.88,2898.29,11.09
92,Norfolk,Virginia,213997,214122,4.04,5.14,0.06,1621.66,-1.98
93,Boise,Idaho,179426,335963,5.27,4.04,87.24,2078.18,14.59
94,Fremont,California,568853,1123059,7.89,6.51,97.43,1527.00,8.41
95,Santa Clarita,California,387142,573616,5.68,5.07,48.17,1206.98,30.00
96,Spokane,Washington,179966,264358,5.03,4.37,46.89,2001.46,9.53
97,Richmond,Virginia,184615,248328,4.83,4.66,34.51,1745.74,10.97
98,Baton Rouge,Louisiana,183223,186714,4.23,5.43,1.91,1516.14,-1.90
99,Hialeah,Florida,161274,301381,7.83,5.50,86.88,1005.77,-0.74
100,San Bernardino,California,134521,308195,6.25,3.48,129.11,1171.21,5.70
101,Tacoma,Washington,214399,344156,5.34,4.52,60.52,1311.16,10.40
102,Modesto,California,145865,314928,5.06,3.04,115.90,1339.51,8.60
103,Huntsville,Alabama,136873,177747,3.13,3.08,29.86,1673.51,19.03
104,Des Moines,Iowa,116506,150639,2.75,2.71,29.30,878.77,5.26
105,Yonkers,New York,502535,533645,7.64,8.13,6.19,2272.32,7.79
106,Rochester,New York,78000,124000,3.32,2.81,58.97,1074.47,0.32
107,Fayetteville,North Carolina,130272,127066,2.74,3.01,-2.46,1496.15,4.14
108,Moreno Valley,California,167329,353605,5.02,3.42,111.32,1378.13,8.02
109,Fontana,California,214877,417914,5.52,3.67,94.49,1674.05,6.48
110,Columbus,Georgia,119949,108553,2.29,3.39,-9.50,1393.30,8.97
111,Worcester,Massachusetts,204204,265792,5.15,4.76,30.16,1546.04,14.12
112,Port St. Lucie,Florida,114735,236207,3.79,2.57,105.87,1227.07,24.49
113,Little Rock,Arkansas,150012,157472,2.94,3.38,4.97,1689.47,4.65
114,Oxnard,California,330371,520928,6.76,5.39,57.68,1226.66,2.17
115,Amarillo,Texas,116075,141399,2.67,2.59,21.82,1237.86,5.35
116,Birmingham,Alabama,64727,69483,1.79,2.14,7.35,849.43,-5.41
117,Frisco,Texas,283846,429464,3.34,2.82,51.30,2764.77,71.53
118,Montgomery,Alabama,107880,96312,1.94,2.61,-10.72,1160.18,-2.53
119,Huntington Beach,California,650041,882830,9.06,8.97,35.81,1925.72,4.81
120,Salt Lake City,Utah,242933,420719,6.66,6.04,73.18,2552.51,6.60
121,Grand Rapids,Michigan,102521,188648,3.67,2.84,84.01,1244.31,5.56
122,Overland Park,Kansas,237979,318895,3.64,3.42,34.00,2554.47,13.80
123,Glendale,California,544462,879031,12.45,10.49,61.45,1788.31,2.67
124,Grand Prairie,Texas,128310,224514,3.25,2.56,74.98,1367.53,11.90
